date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
1/28/2014,10,Sangillo's Tavern,Portland,ME,0,1,0,0,0,1,0,0,0,https://www.google.com.ph/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=sangillo's%20tavern%20portland
1/28/2014,1,Theodore Roosevelt High School,Honolulu,HI,0,3,0,0,0,1,0,0,0,"https://www.google.com/maps/place/President+Theodore+Roosevelt+High+School/@21.310524,-157.837371,17z/data=!3m1!4b1!4m2!3m1!1s0x7c006dc6c7d7147f:0x20dc7a2b7a17f6bb"
1/28/2014,1,Tennessee State University,Nashville,TN,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Tennessee+State+University/@36.167038,-86.829183,17z/data=!3m1!4b1!4m2!3m1!1s0x8864612dc3e8e4cf:0x76bd4369d319821d"
1/28/2014,1,Roosevelt High School,Honolulu,HI,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/President+Theodore+Roosevelt+High+School/@21.310524,-157.837371,17z/data=!3m1!4b1!4m2!3m1!1s0x7c006dc6c7d7147f:0x20dc7a2b7a17f6bb"
1/29/2014,1,Eastern Florida State College,Palm Bay,FL,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Eastern+Florida+State+College+-+Palm+Bay+Campus/@27.993567,-80.630003,17z/data=!3m1!4b1!4m2!3m1!1s0x88de12a7ac3abd0b:0xbbf6c7bf1ddeb9a6"
1/31/2014,1,North High School,Des Moines,IA,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/North+High+School/@41.618322,-93.622996,17z/data=!3m1!4b1!4m2!3m1!1s0x87ee9978b865af57:0x27650efe26df3913"
2/1/2014,6,Forest Houses,Bronx,NY,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/search/e166th+st.,+bronx,+ny/@40.826718,-73.9033565,17z/data=!3m1!4b1"
2/3/2014,4,NYC Dept. of Environmental Protection,Kingston,NY,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/NYC+Department+of+Environmental+Protection/@40.7056308,-73.9780035,10z/data=!4m5!1m2!2m1!1sNYC+Department+of+Environmental+Protection,+in+NY!3m1!1s0x89c2600422bc453d:0x8288379289df26e9"
2/3/2014,3,Benjamin Moore & Co.,Vancouver,WA,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Benjamin+Moore/@45.641301,-122.689743,17z/data=!3m1!4b1!4m2!3m1!1s0x5495a8d04dc55fa5:0xc39fd0da9cf34afb"
2/4/2014,1,Thornridge High School,Dolton,IL,0,2,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Thornridge+High+School/@41.622024,-87.59868,17z/data=!3m1!4b1!4m2!3m1!1s0x880e210cc10ddb17:0x17778c02eb451bf"
2/5/2014,10,Church of God,Los Angeles,CA,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/New+Antioch+Church+of+God/@33.967959,-118.291229,17z/data=!3m1!4b1!4m2!3m1!1s0x80c2c9d17140f64b:0xae7485f859df7e82"
2/10/2014,1,Salisbury High School,Salisbury,NC,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Salisbury+High+School/@35.664439,-80.484539,17z/data=!3m1!4b1!4m2!3m1!1s0x8853f31c67c892d5:0x9f973473a583dbb4"
2/11/2014,1,H & H Day Care Center,Philadelphia,PA,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/H+%26+H+Day+Care+Center/@39.972353,-75.204655,17z/data=!3m1!4b1!4m2!3m1!1s0x89c6c70656e7b719:0x52d44dcf28009ade"
2/11/2014,1,Brush High School,Lyndburst,OH,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Charles+F.+Brush+High+School/@41.522188,-81.504274,17z/data=!3m1!4b1!4m2!3m1!1s0x8831021cb12b0055:0xd22de3d8444eb7e0"
2/12/2014,1,Union University,Jackson,TN,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Union+University/@35.676598,-88.858757,17z/data=!3m1!4b1!4m2!3m1!1s0x887ea69c4344e307:0x40fca2edea2101e6"
2/14/2014,2,Downey Office,Downey,CA,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/9600+Lakewood+Blvd/@33.9525345,-118.1144268,17z/data=!3m1!4b1!4m2!3m1!1s0x80c2cd8a3721a47d:0xaeac9061fdb42b"
2/17/2014,1,Eagle View Kindercare,Indianapolis,IN,0,1,0,0,0,1,0,0,0,http://www.indianasnewscenter.com/news/local/Woman-Shot-In-Daycare-Parking-Lot-On-Indys-West-Side-245983951.html
2/20/2014,2,Cedarville Rancheria Tribal Office,Alturas,CA,4,2,0,0,0,1,0,1,0,"https://www.google.com/maps/place/Cedarville+Rancheria+Tribal/@41.4901584,-120.544683,11z/data=!4m5!1m2!2m1!1sCedarville+Rancheria+Tribal+Office+in+Alturas,+CA!3m1!1s0x54cbaf6aaa06b95d:0x1ce53ea66ea60f5b"
